gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M	ION_36_05M	ION_36_17M	ION_38_05M	ION_38_25M	ION_39_25M	ION_41_05M	ION_41_60M	ION_42_05M	ION_42_80M	ION_45_05M	ION_48_05M	IOS_52_05M	IOS_52_75M	IOS_56_05M	IOS_57_05M	IOS_58_66M	IOS_62_05M	IOS_64_05M	IOS_64_65M	IOS_65_05M	IOS_65_30M	MED_18_05M	MED_18_60M	MED_23_05M	MED_25_05M	MED_25_50M	MED_30_05M	MED_30_70M	PON_132_05M	PON_133_05M	PON_133_45M	PON_137_05M	PON_137_40M	PON_138_05M	PON_138_60M	PON_140_05M	PSE_100_05M	PSE_100_50M	PSE_102_05M	PSE_102_40M	PSE_109_05M	PSE_109_30M	PSE_110_05M	PSE_110_50M	PSE_111_05M	PSE_111_90M	PSE_93_05M	PSE_93_35M	PSE_94_05M	PSE_96_05M	PSE_98_05M	PSE_99_05M	PSW_112_05M	PSW_122_05M	PSW_123_05M	PSW_124_05M	PSW_125_05M	PSW_128_05M	PSW_128_40M	RED_31_05M	RED_32_05M	RED_32_80M	RED_33_05M	RED_34_05M	RED_34_60M	SOC_84_05M	SOC_85_05M	SOC_85_90M
aa1230	0.0	0.0	1.4829900611936236e-06	0.0	6.499179046897892e-06	3.3965625354301186e-06	0.0	2.42611551806891e-06	2.800930701842255e-06	0.0	2.2330162206964885e-06	0.0	1.8252380176968397e-06	1.9302043304187028e-06	2.647857353180758e-06	0.0	0.0	0.0	0.0	5.438817523536394e-06	0.0	0.0	5.195630453819931e-06	0.0002833942905208169	0.0	3.7141988014634652e-06	2.3694049535363224e-06	8.553283799757085e-07	2.94714738201264e-06	0.0	0.0	1.4348559334903734e-06	2.828457139800682e-06	1.7549298443694986e-06	1.0253534958024054e-05	1.912860528051323e-05	7.633642949192955e-06	5.335256055899772e-06	5.3310104818124525e-06	4.541303898271162e-06	2.33710124458885e-06	2.3667392996748477e-06	5.9872063611102885e-06	0.0	3.5982250841028472e-06	2.435630006533003e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.662126269502701e-06	0.0	0.0	1.25229072350302e-06	0.0	0.0	6.790387597763027e-06	4.116278218700425e-06	0.0	0.0	0.0	0.0	1.2546203276302604e-06	2.729144082346797e-06	2.3641462462506686e-06	5.5882294705588915e-06	0.0	0.0	1.1325961089001146e-05	0.0	0.0	0.0	0.0	3.564667692896641e-05	0.0	4.244389965043222e-06	4.929905774930575e-06	2.559671875922863e-06	1.1048220061698703e-05	3.4079415941835193e-06	2.9748850557498255e-06	1.3408581587099457e-06	4.355388002403112e-06	0.0	1.6907156574876173e-06	7.559189386075911e-06	6.02092784453503e-06	0.0	0.0	0.0
aa1231	0.0	1.7675990799298653e-06	2.2742874305049645e-06	2.487191210572702e-06	1.4077792492753074e-06	0.0	0.0	1.061215411482482e-06	2.6624315654651907e-06	2.2208055299040662e-06	5.29768964535726e-06	1.2937022954354941e-06	2.3262900341376303e-06	1.728207965842264e-06	3.307524799256883e-06	0.0	0.0	0.0	0.0	0.0	2.131755114793924e-06	0.0	1.7759797137670902e-06	0.0	0.0	8.060733911269751e-07	7.525884758422313e-07	1.0846377214464009e-06	2.270840791018551e-06	9.60819970809504e-07	1.5125213668515444e-06	2.390410913941455e-06	1.1044003031499605e-06	1.1162698462139655e-06	5.19147696224164e-06	6.277952129670551e-06	4.842702849043251e-06	2.444771724073974e-06	2.389800509305389e-06	3.549773087997852e-06	1.210587539011459e-06	2.7413618266231125e-06	2.2621866578685555e-06	0.0	1.2497461421782117e-06	2.840793146020817e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.381380384968428e-06	0.0	0.0	1.6992378251634556e-05	2.2252295835408375e-06	0.0	0.0	0.0	0.0	8.349226638827407e-07	0.0	1.2557752190236732e-06	3.073570354089818e-06	0.0	0.0	9.163284928416405e-06	0.0	0.0	0.0	0.0	0.0	0.0	3.0052341815591335e-06	0.0	2.1257460800766824e-06	1.644159012352204e-06	3.5773068412746997e-06	0.0	1.4364366985542194e-06	6.750222393396717e-07	1.7249546449994142e-06	8.404170408532653e-07	3.2095048224675718e-06	1.185850746464309e-05	0.0	0.0	0.0
aa1232	9.073554419148853e-06	2.006379653830765e-05	1.6914896539552315e-06	7.24227616281423e-06	9.972171614575751e-06	1.4474595535811646e-05	3.972718257043047e-05	5.673015093204174e-06	1.3269103378400084e-06	5.665178545476302e-06	1.4144372532782136e-06	5.789761022646545e-06	3.673660562755006e-06	8.899016962080916e-06	1.3099336588667273e-05	0.00020264036622774515	3.1369880490806334e-05	2.0720578911357438e-05	1.8969454420276115e-05	1.090914371211899e-05	9.130872825106469e-06	2.418326385561622e-05	1.4138671765884744e-05	0.0005931987009968369	0.0008014088056424343	4.135266839820995e-06	2.9383921154985936e-06	1.2577218126739047e-06	2.8426214068434856e-06	1.0106550048727742e-06	6.481612433398431e-06	3.760983064755729e-06	7.975321771254768e-06	6.5265550434841835e-06	1.3192135993573312e-05	2.2385009912954314e-05	4.853223263988694e-06	7.2237874720420176e-06	5.003336723578731e-06	8.938494140179234e-06	9.859355562759686e-06	8.978641497370592e-06	9.077338294175104e-06	5.019201741810051e-06	2.931488215693082e-06	9.182082381351462e-06	2.2690005299179957e-05	6.64423824626344e-06	1.3927569152381477e-05	2.687913988144634e-05	5.1666902199347405e-05	2.6463278336631376e-05	4.597730717103185e-05	7.695429343333631e-06	0.0001350102942727543	0.0004076913483671194	3.356598403294236e-06	7.398501981215667e-05	1.3231576679642288e-05	1.4877457726801835e-05	7.560145172622212e-06	6.77069230651404e-06	1.9010839738020628e-05	2.0326770329243266e-06	4.820976944312811e-06	4.18962320354943e-06	4.294698037204979e-06	6.717783489268794e-06	1.005255502382951e-05	5.775963484290847e-06	1.4357672315196106e-05	6.723771756936865e-05	5.352390228345083e-05	3.317084691950739e-05	3.5374677976927654e-05	2.7513001629171115e-05	6.874337067672319e-05	5.728312345238622e-06	3.881587816885186e-06	9.948864555462462e-06	1.1775605196670911e-05	1.4016253339541375e-05	6.6663301451401784e-06	1.0425007227482438e-05	4.002663668867131e-06	6.842593518418198e-06	1.7950345492785924e-06	5.903367038645983e-06	6.969693332123053e-06	4.882317997585572e-06	0.0006208060419885407	0.0009803465015690894	0.0006115975698242166
aa1233	0.0	0.0	3.5385589233871585e-06	4.229928011148201e-06	1.1093943859720935e-05	4.298521380237865e-06	1.0411588951090355e-05	1.8902014484534806e-06	4.031635502170393e-06	2.497352731416499e-06	1.0449397333318385e-05	7.603340659629996e-06	3.970630030526123e-06	1.4169308560984242e-06	2.6580545528135513e-06	0.00011410224545754302	0.0	0.0	0.0	7.227516308512889e-06	7.508203178259156e-06	2.0449747134546922e-05	4.6169800252284e-06	0.0008210091710850339	0.0001691695488791855	9.179939583676141e-07	2.298728040158168e-06	4.183130389577514e-06	2.158933945026723e-06	1.0084958958788153e-06	2.4320984262635932e-06	4.284041952264951e-06	3.83271185180791e-06	3.3986426483133193e-06	1.068930939500462e-05	2.659775475019466e-05	9.595965733914818e-06	7.525704870889587e-06	3.6021856334449217e-06	5.658100744651024e-06	4.819426738077229e-06	5.472023215100575e-06	7.138925344337825e-06	2.270165047658745e-06	2.2907968589024674e-06	6.329187849327482e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1082660298194483e-06	2.0887160932679213e-05	7.810985221273912e-05	6.591531361753316e-07	0.0	3.1210763755847035e-06	2.7056451662006444e-05	4.458697152888964e-06	1.6365117165194343e-06	0.0	6.135591520939167e-07	0.0	7.797354968995083e-07	1.7063239348295085e-06	2.326256436130796e-06	4.059640573299314e-06	1.866571886237515e-06	4.098473588602449e-06	2.6545030900337645e-05	0.0	1.1872902129974895e-05	0.0	0.0	0.0	0.0	4.174712493044888e-06	8.167939124625257e-06	7.922346956193533e-06	1.4399180687177752e-05	3.1757284708213485e-06	3.387620077293931e-06	1.3408419930798165e-06	2.7028097862167938e-06	0.0	3.594520033135635e-06	5.28530374147717e-06	0.0	0.0	0.0	0.0
aa1234	1.456760994726047e-06	2.4493689115340325e-06	2.4971146336367695e-06	4.108013789822907e-06	4.575827569151587e-06	8.619809943168252e-06	7.304520213988094e-06	2.3868937345613617e-06	8.75309374013608e-06	0.0	9.310210833890532e-06	8.061279025223033e-06	4.109534420886131e-06	2.275442068043658e-06	4.692393304202098e-06	0.0	7.3119684329367645e-06	0.0	0.0	3.7021151949321174e-06	6.501005560349335e-06	1.569935389905375e-05	4.611749118599907e-06	0.00015458910347938067	0.0	2.229139549705318e-06	2.33776019013195e-06	8.472839312677104e-07	3.1614637573350043e-06	2.1442933296202634e-06	7.958286654967763e-07	5.157521503076585e-06	1.8891153366755835e-06	2.6118588173150505e-06	1.0204290917407559e-05	1.8512727106158318e-05	9.067518512345517e-06	8.562448281111754e-06	8.22414416510483e-06	6.355372782894929e-06	5.575620264261367e-06	4.239358568912781e-06	4.514762959331516e-06	7.1266865716973415e-06	4.977332481693109e-06	6.460568441801e-06	0.0	0.0	0.0	6.1505811770837155e-06	0.0	0.0	0.0	5.732593158893213e-06	4.0505179093798994e-05	3.4186726061754164e-05	1.3953205230075282e-06	0.0	2.1222534567810175e-06	3.799958916860514e-05	3.442617884069027e-06	8.489147916515749e-07	4.368253434201875e-06	0.0	1.0949027988399023e-07	9.50841640594898e-07	1.7524252650066827e-06	2.5267635878309773e-06	3.614091529804737e-06	1.8111859872165084e-06	4.0824093370718804e-06	2.8141759612170098e-05	3.533077223995822e-05	1.0365608678057896e-06	0.0	0.0	0.0	0.0	0.0	4.193187468453059e-06	2.5383929894788243e-06	1.1127959258472836e-05	0.0	5.589468489037742e-06	1.626260604116531e-06	1.8473548410048654e-06	0.0	8.651292532592075e-06	7.66527172706161e-06	0.0	0.0	4.5580865514560095e-05	0.00011550477980431727
aa1235	0.0	5.586957318800468e-06	3.296664012523894e-06	4.8048561836041085e-06	3.611288843558527e-06	5.346982874715153e-06	1.4630774062982212e-05	3.3623502127960073e-06	2.7764156525508237e-06	2.2506949145976604e-06	8.546669388514137e-06	1.0843940638287565e-05	4.175189398911704e-06	8.500771292946017e-06	3.6805631835610347e-06	0.00014514860722766943	1.4722885424018815e-05	8.99525837327023e-06	0.0	9.978736011595214e-06	6.332569088005916e-06	7.591443605726646e-06	8.287793106829472e-06	0.0002903497019994097	0.0002833799986452597	1.8983577736037375e-06	1.4732400554929104e-06	1.0666471135073784e-06	1.698611196574655e-06	8.075224156896084e-07	1.2617809784160916e-06	5.207035366879014e-06	3.347263816271788e-06	3.5014576037239712e-06	1.658285416638568e-05	1.442571437982195e-05	1.5056471075617628e-05	4.957453773804205e-06	7.913626461043184e-06	7.087183113965047e-06	8.15702078933422e-06	3.3175615617365816e-06	8.994942750372802e-06	5.356416879472428e-06	2.530208884263866e-06	4.867544589768392e-06	3.73749285693084e-06	0.0	0.0	6.795961020192522e-06	0.0	0.0	0.0	7.727590044889663e-06	3.053019355513237e-05	7.153630550227527e-05	8.736528590202696e-07	0.0	4.882980079613759e-06	2.5344601056803033e-05	3.289992178692435e-06	0.0	0.0	6.196524777719382e-07	1.3798660956048502e-06	0.0	1.610412600611255e-06	4.165543421332435e-06	4.777560602435904e-06	0.0	1.2271424795904988e-06	5.325264933099891e-05	2.519463227333954e-05	5.499063972620288e-06	0.0	0.0	0.0	2.52536353285419e-06	5.781405088406984e-06	5.280804645968087e-06	3.883358731291239e-06	1.0985964256841748e-05	3.8117641753444085e-06	1.9182248180749914e-06	1.4677846414190664e-06	3.885077655036249e-06	0.0	4.1540893775513165e-06	5.17223412465122e-06	0.0	0.0	0.0	0.0
aa1236	3.135442041575202e-06	0.0	4.23898802841505e-06	3.4524352971687995e-06	6.975295462835677e-06	5.2336412630683425e-06	8.151571256646088e-06	2.2479213565357645e-06	5.0986133773388e-06	4.799417042833375e-06	1.0179666117832616e-05	1.0186424462133077e-05	4.759439153677994e-06	5.607956635877201e-06	7.724012520382667e-06	6.0760886391092084e-05	1.8000900440363345e-05	0.0	0.0	1.2140516611059469e-05	4.212160608800242e-06	0.0	2.9122443194576724e-06	0.0003066946944215807	0.0002416788401642549	1.6304511082203105e-06	2.4696788269297808e-06	1.266805656459472e-06	3.66003029225207e-06	6.471291520797711e-07	2.341249290210128e-06	3.759070570208062e-06	3.7292968139205145e-06	1.940377368954323e-06	1.5734056126097035e-05	2.053608913731223e-05	8.459700810937678e-06	8.698855015333825e-06	6.419039421066397e-06	5.734606465447244e-06	5.657888610283541e-06	4.133917084261119e-06	7.843928580395076e-06	3.4411361891687496e-06	2.488422682008258e-06	5.9653733562468525e-06	1.9363673709042507e-06	2.6154688603536916e-06	0.0	0.0	2.9661187926791536e-05	1.7710809502124814e-06	0.0	0.0	5.4461577269583574e-05	3.5136090643966444e-05	1.229022058023399e-06	0.0	5.548331319250643e-06	3.620650914718305e-05	2.9403952328233663e-06	0.0	0.0	1.563370376968984e-07	0.0	9.913003092387975e-07	2.2381685533693845e-06	2.9031378900666143e-06	5.602318073334392e-06	0.0	0.0	4.0019356554831874e-05	2.598735465795842e-05	4.0106401648017326e-06	0.0	0.0	0.0	1.0782562447623367e-05	2.932836681663424e-06	3.889494821250317e-06	4.772062676660609e-06	1.1252192982853305e-05	3.2783017798447305e-06	3.2009751867979393e-06	1.2369753785914183e-06	3.940481070819578e-06	0.0	4.150878388210038e-06	5.022339592949893e-06	2.628349357680758e-06	0.0	0.0	0.0
aa1237	0.0	1.3798176477809077e-06	4.616008275951002e-06	1.7970634179393492e-06	6.83025453053224e-06	8.388279234879861e-06	0.0	1.7356189809326802e-06	7.418297375021054e-06	2.869162489008968e-06	6.87296753040296e-06	2.7056193846916863e-06	3.6237675265939968e-06	2.200362606618701e-06	2.711929662104638e-06	0.0	5.926119858479575e-06	7.64388779394936e-06	0.0	6.379108611306739e-06	4.808226549242712e-06	0.0	1.5379104625745538e-06	0.0007319412636980164	0.000671773413965426	2.076346849076812e-06	2.3589021309304596e-06	1.3549326276138478e-06	2.2177112042591865e-06	5.422576204803457e-07	1.9103576564659703e-06	2.689081622606686e-06	7.891749821018735e-07	2.259693267202878e-06	8.743039355849174e-06	9.696129862570362e-06	5.511189883169809e-06	5.466299738031465e-06	2.6968565362922626e-06	3.185305240808737e-06	1.3144595375076965e-06	1.7193197903556111e-06	6.037391060436642e-06	0.0	1.5124050443737222e-06	1.0661071749772097e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.371308470631056e-06	1.5790129112269087e-05	0.0	7.920398432539155e-07	0.0	0.0	1.1876132407932969e-05	3.3045799918131224e-06	0.0	1.1228795941838818e-07	0.0	1.9299044282561913e-07	1.3683477912872515e-07	7.650675930061268e-07	1.2545638613531675e-06	2.8918850714307645e-06	0.0	2.404051056507389e-07	1.635702474370645e-05	2.8651586362816826e-05	0.0	0.0	1.6408379972883306e-05	0.0	1.4229121376387259e-05	4.2149118233878906e-06	2.7945417441326097e-06	2.3424951454012286e-06	5.946462437916911e-06	3.598959354194422e-06	0.0	0.0	1.2319597980510478e-06	0.0	2.7738709239723107e-06	8.377462822605344e-06	0.0	0.0	0.0	0.0
aa1238	0.0	0.0	1.2648415939168123e-06	1.2078524840285038e-06	1.1209443763403988e-06	0.0	0.0	1.4625421593326772e-06	2.0315806986710252e-06	0.0	3.0261171852866123e-06	2.6071750220784234e-06	0.0	1.3335822847246578e-06	2.209346797860094e-06	0.0	0.0	8.077499849925957e-07	0.0	4.625652441095932e-06	4.707123118949848e-06	0.0	4.362819478679072e-06	0.0	0.0	2.6003027051313594e-06	1.448259077186221e-06	8.192652072640281e-07	2.4490165846265433e-06	8.326808299250136e-07	2.6249892447816257e-06	1.4505900269512667e-06	1.0733065083708952e-06	2.0935982396592485e-06	1.5459306783335073e-05	1.5922952164026313e-05	8.542261335751984e-06	6.6550217514062375e-06	8.345964326667674e-06	5.870015142259217e-06	5.531511923004093e-06	3.9731181503539515e-06	6.724041799006762e-06	4.022495710297348e-06	3.7680364921407536e-06	2.5206497635255143e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.931858324971765e-06	0.0	0.0	1.6808962946343973e-07	0.0	0.0	6.607679272274577e-06	4.062050316248753e-06	0.0	0.0	0.0	0.0	9.017139402788944e-07	1.2651033212594272e-06	1.4100511618655186e-06	1.7613290656069644e-06	0.0	0.0	0.0	2.2505645998135565e-05	0.0	0.0	0.0	5.7418274402330134e-05	0.0	3.121943096936993e-06	4.568921885255886e-06	5.427521133019417e-06	9.794668993201663e-06	0.0	3.677057799603328e-06	1.6621065015459224e-06	1.408912032985598e-06	0.0	4.562577134954396e-06	4.659685092772494e-06	0.0	0.0	0.0	0.0
aa1239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9446326658862544e-05	1.8061978346864674e-06	1.9863432616225104e-06	0.0	0.0	0.0	0.00011636667595116435	0.0001132153057514107	0.0	0.0	0.0	1.9964121425276535e-05	1.3214078683776768e-05	1.1212283722019955e-05	1.6177780466966323e-08	1.0039118139818092e-05	0.0	0.0	1.7405044815413167e-06	7.787254472571935e-07	2.571751446480978e-06	5.6007790367633465e-06	2.3005726818149583e-06	2.6261285744639825e-06	1.7810215053539674e-05	7.364150490551588e-07	3.815792713365529e-06	8.669540510753904e-07	0.0	0.0	0.0	2.9772637480519787e-06	5.9197838971202795e-06	3.7673570599586913e-06	4.0062094877099975e-06	5.673913288849421e-06	0.0	0.0	2.338414507684469e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.672151799328736e-05	0.0	0.0004975941435667805	3.629148895705645e-06	1.956222009086411e-05	3.1119207238704976e-06	2.2768270032211215e-06	0.0	0.0	1.1712291584189635e-05	6.043350062242256e-06	1.7855590606419189e-06	7.01603142126015e-06	0.0	1.3813359479646141e-06	0.0	0.0	1.458414605382448e-08	7.588946667648078e-08	0.0	0.0	0.0	0.0	1.1363110903422621e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1920638306586736e-07	0.0	0.0	0.0	0.0
