,metagenome_0,metagenome_1,metagenome_2,metagenome_3,metagenome_4,metagenome_5,metagenome_6,metagenome_7,metagenome_8,metagenome_9,metagenome_10,metagenome_11,metagenome_12,metagenome_13,metagenome_14,metagenome_15,metagenome_16,metagenome_17,metagenome_18,metagenome_19,metagenome_20,metagenome_21,metagenome_22,metagenome_23,metagenome_24,metagenome_25,metagenome_26,metagenome_27,metagenome_28,metagenome_29,metagenome_30,metagenome_31,metagenome_32,metagenome_33,metagenome_34,metagenome_35,metagenome_36,metagenome_37,metagenome_38,metagenome_39,metagenome_40,metagenome_41,metagenome_42,metagenome_43,metagenome_44,metagenome_45,metagenome_46,metagenome_47,metagenome_48,metagenome_49,metagenome_50,metagenome_51,metagenome_52,metagenome_53,metagenome_54,metagenome_55,metagenome_56,metagenome_57,metagenome_58,metagenome_59,metagenome_60,metagenome_61,metagenome_62,metagenome_63,metagenome_64,metagenome_65,metagenome_66,metagenome_67,metagenome_68,metagenome_69,metagenome_70,metagenome_71,metagenome_72,metagenome_73,metagenome_74,metagenome_75,metagenome_76,metagenome_77,metagenome_78,metagenome_79,metagenome_80,metagenome_81,metagenome_82,metagenome_83,metagenome_84,metagenome_85,metagenome_86,metagenome_87,metagenome_88,metagenome_89,metagenome_90,metagenome_91,metagenome_92,metagenome_93,metagenome_94,metagenome_95,metagenome_96,metagenome_97,metagenome_98,metagenome_99
gene__0,0.10216855494039123,0.4047664789013822,0.6174547876077785,0.8173027248788258,0.6217842701134906,0.3275602537924558,0.33150028492173744,0.5101880705031199,0.5858012338096884,0.7374144352780397,0.03091447155373661,0.8958682884386745,0.931056914248943,0.29727009597063425,0.6824588731501249,0.9246439401162735,0.2418236773706638,0.294033960628152,0.9240890111375127,0.23577305744106203,0.4168047179599317,0.4492968147971532,0.9130320749847742,0.10492759037874877,0.9646220759754646,0.1288856079029933,0.08916008127599595,0.10293028841732121,0.9901619527368466,0.18750096393997095,0.6418704829486731,0.5386145284886441,0.24121168197316434,0.5550897645101575,0.9146610958818884,0.16746881453032125,0.05169397117012331,0.5998290221009105,0.34784880165129217,0.6836454441594149,0.314680029710975,0.9851975023886314,0.6779081582078413,0.37565228595713784,0.166999340241907,0.31641945302373464,0.4309699119099413,0.21614194817841703,0.2924252564497004,0.16959015037840108,0.11330371946987283,0.2633311386831835,0.6597718751328481,0.6714032670906488,0.8624829286054356,0.5220780942325302,0.68225066076147,0.4366009138289175,0.725851221059866,0.6045968218092816,0.34331767884174125,0.6813608789401526,0.7367213821575445,0.7671689403603141,0.3975382027583345,0.5006993362512495,0.926628733657282,0.512971263659765,0.3865679942337673,0.15653240841201976,0.9167391984371499,0.134741416461984,0.31158290093400165,0.5893834854453786,0.37298456932629986,0.25180239727699116,0.5767633929908274,0.9191359932712642,0.44650111251352964,0.7812442378395341,0.12188376780916177,0.9897127468559482,0.07607406230371483,0.8336269135579566,0.5145668837620734,0.6655410910819916,0.5487259590820047,0.4035975483402371,0.5633428211109031,0.8050063650890787,0.7704453070286705,0.23618532418644322,0.03065581742363066,0.9335054556676708,0.34788328344702524,0.949661262169385,0.010635797928118307,0.2673105590932351,0.5303268870904058,0.5901063451106372
gene__1,0.5558840137038502,0.1355854634539272,0.05391278207697203,0.31709547683143235,0.3812512794627778,0.7575486636072736,0.718611715885905,0.21662438319842936,0.12347605383275428,0.02617540791178341,0.2479323537204261,0.4418424209762889,0.9747845687047548,0.5268312569902945,0.887554619694822,0.7838949261866078,0.13400615890198642,0.5975724429578874,0.01890096809194186,0.4308884416464962,0.4031544821869756,0.16030847507440538,0.6886507341908015,0.6800760497347583,0.4233603804064867,0.622279057129548,0.8271809941129394,0.0943127810453972,0.2257413312172748,0.4500269512402816,0.4368917790535216,0.8778528490278101,0.1011146212024433,0.7694178678523248,0.9261604944178701,0.45882763427707085,0.04407723217879289,0.43358115813839915,0.5553021459384889,0.38865908175472197,0.051780402235253487,0.7814172089109586,0.6951181826279943,0.2757925941976602,0.10223134619045215,0.621988964384905,0.6154565197112729,0.07464215751418224,0.03761788338280603,0.5305620298837056,0.18175308019471093,0.5369462298881887,0.3059457221194647,0.5423933174823458,0.5746654400476763,0.34859520127802357,0.5114595726033297,0.21411238312418868,0.5653804358400382,0.5945248356087891,0.35618645690445905,0.7057886116366007,0.008310398794225793,0.2174272001220754,0.8520191899249042,0.4686057108042804,0.8889976148795442,0.5911258532794753,0.7063084743259594,0.9426317553148841,0.1000998362886587,0.7573179025629067,0.8841943277037133,0.9599823832947868,0.06797882452348603,0.5088607716683574,0.8053426545686373,0.5044059571822639,0.7890364320374758,0.8314299120553288,0.536275509434228,0.7582793040506808,0.8974612271709655,0.9737702396352343,0.574685632605312,0.9464017197769372,0.6083431302043179,0.7574012539334802,0.7563767277216826,0.624530038882602,0.2809065304576631,0.9202381863631952,0.8428547882783767,0.7726093932330859,0.2962667550931528,0.20102497644562722,0.2695461138370683,0.24321460297499709,0.7512820494859179,0.7957068114653161
gene__2,0.6629832156320293,0.5825300540101552,0.4150150292126491,0.1908328450638015,0.26463565935860933,0.49672755024248594,0.7354075025423029,0.5207503848161721,0.8814168075256814,0.6557387090601057,0.3977022737235685,0.3451986533179069,0.6844431870619356,0.4503605471078057,0.9968185777825215,0.2800265775885389,0.9703170222644034,0.3979447836220441,0.25651192967738,0.5840949858843053,0.9217716664744225,0.9001292745911919,0.41290390678378297,0.5164857147285378,0.8652162425050056,0.2254275374923591,0.7220997512097339,0.8254729942149613,0.44873765110686104,0.7434873963274918,0.368536375692469,0.1953522450052838,0.8953386830566039,0.27328640108041935,0.4905357617258338,0.4222073575598798,0.886092689544021,0.11212297470350618,0.18675584758763686,0.05009778733521464,0.9103414017173048,0.2944591080593987,0.8105458003533427,0.825644258470456,0.14853823132763366,0.744437918291913,0.6737453492594326,0.39712597110083936,0.6554946638425754,0.45021040492397235,0.5538615832891944,0.8827957076197372,0.11708671636734547,0.5799759108890385,0.5705463015289367,0.2369299052598035,0.3985958427815638,0.91414467240111,0.26648269435734795,0.4087607862290713,0.5043742586030294,0.7178936178724392,0.6330671196455803,0.9289680047060093,0.9819378785884172,0.6992540969253365,0.42030160352747736,0.7779635236463696,0.7589353404881278,0.2735335189492756,0.36288527824379735,0.21335897379753632,0.1831397473421601,0.06934063536365664,0.37063806395084986,0.44030300892719265,0.42894245458916125,0.8151125185162637,0.6420195196254959,0.9030533517264555,0.9990273856992739,0.6958766989031214,0.1455843201828193,0.8843751771088384,0.167031233647979,0.15439057710995951,0.8321082275475511,0.15449819248154362,0.7045418300410118,0.933401390714043,0.26756990181945584,0.789043359755573,0.22855586298012187,0.014486131903966748,0.9585104753089856,0.036229401515432746,0.6624153915217058,0.661935369790316,0.16978476606078985,0.328715019325295
gene__3,0.6514139288957518,0.08534803973492366,0.6074717093440606,0.7408186844113656,0.413770757763369,0.2652492266202999,0.8717058554265167,0.015285355614786722,0.35520141410000283,0.4417965798485787,0.6415024466954763,0.7948364268350284,0.057247249266029976,0.6659920340305455,0.19138592761884887,0.19210074370791952,0.8248292444019723,0.6705189297261402,0.1325247695842552,0.20316032342131818,0.8004324381080618,0.32542113523984373,0.7626626331372754,0.4119459105667699,0.9785415683881366,0.5283379443512353,0.9033527064414616,0.41970142283403733,0.7776948525453887,0.3665536680937971,0.03206967212833922,0.3844389229061548,0.9924765788606339,0.49359556069088484,0.5208804852051537,0.061178600372608694,0.9370208531560564,0.48835635946481104,0.1884387418363207,0.31193580270660715,0.9266920744568181,0.8367446629884238,0.01404928651295101,0.005488442640279367,0.36743511050861377,0.16974388532771723,0.9660072041699942,0.7859412403661695,0.2752728397537484,0.0488222405521489,0.09895745701528247,0.7910284553149081,0.8904272248074812,0.4775713256355384,0.9438414611715339,0.14759346291246767,0.34963543838474787,0.36490503405690966,0.4086473096642097,0.6109219017482473,0.183851411407438,0.9212268574157982,0.6223726829907078,0.832684833449994,0.5555601921528397,0.05537543587536564,0.6003561079823685,0.07903231080511464,0.23179251058900896,0.7243547190110917,0.3690913959286858,0.8463710206161008,0.37389650415970843,0.9387194671459459,0.15982147143113778,0.8301891897047601,0.0747642231469905,0.20099935235702515,0.6479988211201808,0.576054672200688,0.8123077912915947,0.940076284163215,0.7006530311682758,0.5044137331977785,0.07013897235834032,0.7348834078919091,0.16569952863040782,0.0006640633120409412,0.33415491687456134,0.3397694081746173,0.8850268928532745,0.2078621334248939,0.6991552120631388,0.6616369085693018,0.17714717205738795,0.050950022486754176,0.7624200485047452,0.18745759480284585,0.948761501025619,0.8914507377861894
gene__4,0.8422419237678815,0.9509586411512488,0.661281155150476,0.16711451304467861,0.5942676572896032,0.22706897456611264,0.5465884568627869,0.5089853163475324,0.6340461775930581,0.38513457108052895,0.16380696424903152,0.25286635651438427,0.3852651562659333,0.6067912123668491,0.0545128459658244,0.5876086687177386,0.6483029371896395,0.9660821831988159,0.7367373034174411,0.7953428947955228,0.9857857255587293,0.4040511426826251,0.945006494986116,0.1434353541084913,0.9144172576642802,0.32686100000443963,0.8760834924463783,0.106660937175165,0.6148195929207958,0.46067402247906775,0.8724069518588324,0.820154099868813,0.2749074757921187,0.07803028773996024,0.1129327455068776,0.18697425540871138,0.49551353833076817,0.08505556245115997,0.8592790228511986,0.9713888061085552,0.3910602890586371,0.15810210920472034,0.8227299630308557,0.15923129343236586,0.09240007570862319,0.7397533362383332,0.762563867372905,0.5857432343818304,0.5290603748523426,0.8830493056338852,0.19855131867532383,0.7577744950448837,0.7020860643138803,0.5641198516309819,0.7211808295958219,0.466716320213433,0.4126682678877238,0.143739566687476,0.5192236824018692,0.34317209395576587,0.9008013182152835,0.45785197333787186,0.4945873548770272,0.5695512747074336,0.2913377514265094,0.3675612056686818,0.5041911324883516,0.3397724817391975,0.27188255687728546,0.19516926631425502,0.5337440110127232,0.35560565246042175,0.6377662371303462,0.8307890918820229,0.23046276741660565,0.6428552190987699,0.5080113903616509,0.016095717525348885,0.9551047134067808,0.26088014275848714,0.25163663939413794,0.711632731178284,0.30313455290050395,0.5424282960391376,0.2260843650132739,0.7666096526969223,0.8381766757945548,0.03545224217289966,0.15731282961616888,0.9908521763612346,0.8677083569607722,0.8330398677527279,0.8593871920053887,0.5094364764513458,0.7402145930140104,0.5779399924260287,0.43124570452913513,0.9006275734751914,0.6223576424487,0.12054371733134328
gene__5,0.11273701644471057,0.9087788496810343,0.3382925939980175,0.0006584495995592965,0.01228622905429766,0.9234483707518284,0.32476189907147246,0.2187722871812856,0.20194935684090054,0.6596563636723379,0.6895654528299063,0.9777503859548194,0.5905406785946945,0.46495095124837926,0.5318131421078828,0.34432323150425825,0.6231207886105395,0.1249432087082305,0.5604274321526401,0.9657356032864199,0.1937288301893545,0.33424634386421903,0.4975031108717256,0.7555837751196197,0.6641473555144171,0.5786818394700651,0.15436585177166018,0.44706195718411423,0.9297868974172551,0.26526928595856814,0.47535315998318817,0.9926243345496009,0.5530114856120356,0.9201682916127077,0.11913163330511489,0.8834201248699514,0.3578884749749518,0.6935843881685386,0.6729703408074149,0.9680238978135962,0.04514341205173289,0.6339463146328741,0.8331306753248223,0.0181395049207701,0.009263031814150113,0.8888291888365366,0.22132061555858074,0.44338446889065986,0.6453001027560671,0.39265165611303376,0.11205882185429927,0.6782422109285442,0.7171454772503943,0.47908049996004975,0.295825036996206,0.20594139813979107,0.4200417871717538,0.15421970061208368,0.7741964152220578,0.3790846102374733,0.45561531478932904,0.05866414154063582,0.8022367837708324,0.5837679261000961,0.32880196722795096,0.006355651506798066,0.8335334768042677,0.8363540044701786,0.14399129273645295,0.8293618255145738,0.2776694211636823,0.28827923747260487,0.6764548251716984,0.8357945298907964,0.9881409370680235,0.7738812516832678,0.10431136797464158,0.9596064864074677,0.059820816374474894,0.08938384119818654,0.5546045224748296,0.27717485801322395,0.8743638592513653,0.7608645272740201,0.25586379138484816,0.2240175139779882,0.1562870867605224,0.23112091793204792,0.5723554589830596,0.5939660498032634,0.1864305242006169,0.3290417754275522,0.08402994023777988,0.4357667166091356,0.9076159594900303,0.7719008533642584,0.6104401280575935,0.31686080146711515,0.6260294064287786,0.3652962749582104
gene__6,0.28600747225500023,0.4990736346363287,0.8989171600291895,0.5245683902525093,0.9951656123554682,0.3950792169361679,0.08041125148186334,0.6144053047317352,0.8718514537641465,0.5811104122496016,0.010238202085882553,0.6915585726628953,0.09242915591084888,0.14187061471385154,0.9605756710997911,0.9155993149142093,0.23464643248188088,0.21584690704208553,0.06954947973899062,0.34584441581848147,0.23543292749995648,0.12287000510982693,0.1783389980856699,0.1428029333118701,0.7480567620957811,0.2656594680051677,0.1365251640325713,0.2747894990204557,0.3121228009893996,0.3172417211486048,0.9583289332392655,0.17110573022947972,0.21557054716484392,0.5100156598468024,0.7011669418934824,0.07328170179302718,0.3763584953947652,0.8567599592095568,0.4498646219816568,0.02077796773080265,0.33644686268589263,0.1386261109387228,0.6860384413298318,0.7366882443561822,0.37255109400647435,0.7082648849283588,0.9721483149430626,0.8328129308317879,0.6001654086598032,0.04187017620222633,0.07605547989423367,0.2795645235654447,0.5212868639704343,0.4971820272825539,0.45936985377595885,0.7676245608079609,0.2312312279771438,0.8791899988696286,0.16157079772932847,0.9411482954778467,0.4417358848322278,0.8546392586852113,0.6616589379575551,0.6132683635524865,0.9017785156309832,0.2024661577452097,0.5355506823393248,0.35438287107837574,0.5428957572786437,0.795294593053349,0.9129120884000652,0.05854902838749443,0.7469812680944977,0.780081459027284,0.24377958295180735,0.5641173454029229,0.4957652253397712,0.3448813185833892,0.8496655147006655,0.19934342205300193,0.7122799046129157,0.9796272104908342,0.6071039182044959,0.3788541548959994,0.7795489104902323,0.7272942976645185,0.0790883576592144,0.16348399270832115,0.9514351240296739,0.6331729001276704,0.6805474935266992,0.7118372098355076,0.6128294293874563,0.6313993768671903,0.35300990146738465,0.5190353908605896,0.2334512335433333,0.6689877946406554,0.06820926526206439,0.060397624782468684
gene__7,0.3773604156671684,0.5825119981363718,0.20305241789093054,0.057908633202043425,0.3475293757388719,0.45382206731332175,0.5331768153835138,0.45168194162387554,0.5164136019006348,0.42381162740343803,0.546074694026292,0.7457708185281036,0.9959937964434915,0.16721309274156182,0.28431365348053494,0.10167952143119419,0.7976562895165611,0.9549115606334289,0.23752040164147814,0.6622981852444731,0.4910893033972902,0.2676183011640366,0.19522228065669145,0.7198711989078029,0.9520740551854401,0.8049318218859536,0.000990800810162451,0.662152907564136,0.5873304182229308,0.05645222397563732,0.05878519779526725,0.557049022527666,0.2651126891471933,0.9031707778130534,0.06885211099263877,0.4100446518548988,0.7154488966705559,0.8328464192829038,0.026274910283057062,0.39343705825545894,0.2216292675360355,0.5591709522711348,0.5979366292128565,0.8936739052383571,0.7653861447555961,0.4186838503319713,0.8136654435552769,0.8695696161808726,0.19558052610460752,0.6323315743021265,0.9152909009891796,0.6575588790211374,0.23789426301565775,0.24073188899733544,0.2268306540190561,0.9017255351914741,0.5466331058856316,0.8269178855875797,0.07355340196315585,0.061034715565662756,0.6015805292774037,0.38087345001183825,0.20309806031479682,0.4619763048997455,0.4759360176550822,0.22649581220463388,0.9184939262707215,0.12883568496488018,0.7500440303432274,0.5456720752268038,0.11470302641146446,0.0008446663720778069,0.7870362932889342,0.5913668074593623,0.8129895598041953,0.8106221980292752,0.7134163049771338,0.8402106435824942,0.37543677435346023,0.019480460956900147,0.07477700146640909,0.8293412920572211,0.8831031268557492,0.3812007684743637,0.36561299890538146,0.4583844921941892,0.9607218573604792,0.2280175853286397,0.04028633832168549,0.2669882334598821,0.34767891346273794,0.6430448203461485,0.7462793749453327,0.8114837261429009,0.0357750940993774,0.23379408623207043,0.2391431019283119,0.2704062500212121,0.0523051531161034,0.9161851215238513
gene__8,0.2360290341747847,0.9034959246203967,0.010174032506315878,0.06853822486944883,0.13838583134481985,0.8368078472046427,0.9062343740328901,0.25651590317640727,0.8548526717425338,0.22002271622550895,0.2943980089560322,0.2160329160272768,0.4189184484713092,0.8782504263302437,0.7391805983540701,0.2933056934825181,0.34641989026907294,0.26925902255239653,0.06052088953713053,0.5463137389895957,0.8228074582536188,0.6397057573417646,0.34448235968981633,0.338552977399445,0.009116535328663189,0.8992494407282579,0.4138541211212028,0.01809094551697632,0.9919822305121502,0.9295475511149002,0.28410011507768484,0.10979773241298507,0.6764488779031086,0.3838265885129708,0.5632941568648374,0.8299106653534296,0.26168334307489327,0.8460294568405664,0.9690400221336595,0.18121468266971008,0.3801202702564547,0.48370429110390045,0.7847889743297419,0.8052822221169064,0.48067233239671847,0.73947617104112,0.6817964489067518,0.09872259846143272,0.9097007616747173,0.3868324321600759,0.6298874107072785,0.03457448260662843,0.9377658135050989,0.1341446920509468,0.6441656607308882,0.5604141847057278,0.4031418075899752,0.3632749951365437,0.33752290386820516,0.9254224700584194,0.5348121015373855,0.9643652520740673,0.6919517031318854,0.6451682578090502,0.9028384210964907,0.35723046886379417,0.1772916999343478,0.9157701526615728,0.016640686487014,0.6422471231040164,0.765991314656965,0.5582945314658606,0.7816413070214867,0.5481988886468089,0.488047185470302,0.5222271129172333,0.24347309022282326,0.0514875472843892,0.42670990350553273,0.46836680492471894,0.8558102792325485,0.18429602342287554,0.3737226940574795,0.7938792255223942,0.6491040753153583,0.7198104382554897,0.6164227923122643,0.3417980947076492,0.9434733602097692,0.5675742502808402,0.9964371068919382,0.3614768567026384,0.6985738326656437,0.13042796676646262,0.5638472109550782,0.9361600588111826,0.8562466228029435,0.05121424921560769,0.6394848243116116,0.32645103987687596
gene__9,0.4588633953510901,0.42472185656026107,0.540626614039204,0.26579585548196294,0.31702902906203545,0.45715515165419873,0.35506675804175325,0.8365905409409314,0.2516929529142753,0.5431079957976689,0.02697497843532537,0.992622100467916,0.06664072219520234,0.856457799864395,0.2609272052874898,0.6238057861932231,0.8192643225899808,0.5573523268453705,0.886176744150774,0.0005505890506685152,0.13959096834428686,0.07025936242964814,0.7654024786694441,0.9489331759470919,0.14480055571413974,0.5454153809895602,0.18174289521632792,0.34408310299895306,0.5503515120477066,0.44911872763179717,0.9134369879606714,0.7972682160925365,0.07123259538463078,0.15826533970510226,0.4043982929013362,0.41802579724955224,0.38132310310790396,0.5989323408819991,0.2575509845985543,0.6557757742859812,0.058433360111989185,0.8320565803193373,0.6923920770056498,0.7923114610117421,0.2587372863933234,0.6851906098748508,0.8814659468355583,0.0076327115152745595,0.8242308971084114,0.29822691197282813,0.24399104434430552,0.04020495112814082,0.21145622397224817,0.03590549224264339,0.7845784727420717,0.39230018450627013,0.9228825060653008,0.8091697088974394,0.9518061014828813,0.23815695253584157,0.22644248669086475,0.999707422420173,0.8848170698437368,0.8717391352102247,0.6597644945231664,0.9160753889042575,0.6883360907171483,0.1643588267596945,0.2479696762950423,0.03729208833828401,0.946450235179354,0.013968681261885663,0.21189811211183585,0.4319546200926594,0.18454884887286904,0.9984111910950513,0.6882963472628219,0.31014721918606547,0.55084219349664,0.7690221013441431,0.7722427968330574,0.5537668347308654,0.06873417797860137,0.27523359362142985,0.21297016440997385,0.9923420888071799,0.06893590701568264,0.6957775432290481,0.6378976571811146,0.3391200815614366,0.1447541884677892,0.2068034896576345,0.38651165731595605,0.2513485613065164,0.4913309716601132,0.1751506476979957,0.24811049999843338,0.2475775047632498,0.10227724172382868,0.4089728280598046
