gene_callers_id	Classification
gene__1230	0
gene__1231	0
gene__1232	0
gene__1233	0
gene__1234	0
gene__1235	0
gene__1236	0
gene__1237	0
gene__1238	0
gene__1239	0
gene__1240	0
gene__1241	0
gene__1242	0
gene__1243	0
gene__1244	0
gene__1245	0
gene__1246	0
gene__1247	0
gene__1248	1
gene__1249	1
gene__1250	1
gene__1251	1
gene__1252	1
gene__1253	1
gene__1254	0
gene__1255	1
gene__1256	1
gene__1257	1
gene__1258	1
gene__1259	1
gene__1260	1
gene__1261	1
gene__1262	1
gene__1263	1
gene__1264	1
gene__1265	1
gene__1266	1
gene__1267	1
gene__1268	1
gene__1269	0
gene__1270	1
gene__1271	1
gene__1272	1
gene__1273	1
gene__1274	1
gene__1275	1
gene__1276	1
gene__1277	1
gene__1278	1
gene__1279	1
gene__1280	1
gene__1281	1
gene__1282	1
gene__1283	1
gene__1284	1
gene__1285	1
gene__1286	1
gene__1287	1
gene__1288	1
gene__1289	1
gene__1290	0
gene__1291	0
gene__1292	0
gene__1293	0
gene__1294	1
gene__1295	1
gene__1296	1
gene__1297	1
gene__1298	1
gene__1299	0
gene__1300	1
gene__1301	1
gene__1302	1
gene__1303	1
gene__1304	0
gene__1305	1
gene__1306	1
gene__1307	1
gene__1308	0
gene__1309	1
gene__1310	0
gene__1311	0
gene__1312	1
gene__1313	1
gene__1314	1
gene__1315	1
gene__1316	1
gene__1317	1
gene__1318	1
gene__1319	1
gene__1320	1
gene__1321	1
gene__1322	1
gene__1323	1
gene__1324	1
gene__1325	1
gene__1326	1
gene__1327	1
gene__1328	1
gene__1329	1
gene__1330	1
gene__1331	1
gene__1332	1
gene__1333	1
gene__1334	1
gene__1335	0
gene__1336	0
gene__1337	1
gene__1338	1
gene__1339	1
gene__1340	1
gene__1341	1
gene__1342	1
gene__1343	1
gene__1344	0
gene__1345	1
gene__1346	1
gene__1347	1
gene__1348	1
gene__1349	1
gene__1350	0
gene__1351	1
gene__1352	0
gene__1353	1
gene__1354	0
gene__1355	0
gene__1356	0
gene__1357	0
gene__1358	0
gene__1359	1
gene__1360	0
gene__1361	0
gene__1362	1
gene__1363	1
gene__1364	0
gene__1365	0
gene__1366	1
gene__1367	1
gene__1368	1
gene__1369	1
gene__1370	1
gene__1371	1
gene__1372	1
gene__1373	1
gene__1374	1
gene__1375	1
gene__1376	0
gene__1377	0
gene__1378	1
gene__1379	1
gene__1380	1
gene__1381	1
gene__1382	1
gene__1383	1
gene__1384	0
gene__1385	1
gene__1386	1
gene__1387	1
gene__1388	1
gene__1389	1
gene__1390	1
gene__1391	1
gene__1392	1
gene__1393	1
gene__1394	1
gene__1395	1
gene__1396	1
gene__1397	1
gene__1398	1
gene__1399	1
gene__1400	1
gene__1401	0
gene__1402	0
gene__1403	0
gene__1404	0
gene__1405	0
gene__1406	0
gene__1407	0
gene__1408	0
gene__1409	0
gene__1410	0
gene__1411	0
gene__1412	0
gene__1413	0
gene__1414	0
gene__1415	0
gene__1416	0
gene__1417	0
gene__1418	0
gene__1419	0
gene__1420	0
gene__1421	0
gene__1422	1
gene__1423	1
gene__1424	1
gene__1425	0
gene__1426	0
gene__1427	1
gene__1428	1
gene__1429	0
gene__1430	0
gene__1431	0
gene__1432	0
gene__1433	1
gene__1434	0
gene__1435	0
gene__1436	1
gene__1437	1
gene__1438	1
gene__1439	0
gene__1440	0
gene__1441	1
gene__1442	1
gene__1443	0
gene__1444	0
gene__1445	1
gene__1446	1
gene__1447	1
gene__1448	0
gene__1449	1
gene__1450	1
gene__1451	1
gene__1452	1
gene__1453	1
gene__1454	1
gene__1455	0
gene__1456	0
gene__1457	0
gene__1458	0
gene__1459	0
gene__1460	0
gene__1461	0
gene__1462	0
gene__1463	0
gene__1464	0
gene__1465	0
gene__1466	0
gene__1467	1
gene__1468	1
gene__1469	1
gene__1470	1
gene__1471	1
gene__1472	1
gene__1473	1
gene__1474	1
gene__1475	0
gene__1476	1
gene__1477	1
gene__1478	1
gene__1479	1
gene__1480	0
gene__1481	0
gene__1482	0
gene__1483	0
gene__1484	1
gene__1485	0
gene__1486	0
gene__1487	0
gene__1488	1
gene__1489	0
gene__1490	1
gene__1491	1
gene__1492	1
gene__1493	1
gene__1494	0
gene__1495	0
gene__1496	0
gene__1497	0
gene__1498	0
gene__1499	0
gene__1500	0
gene__1501	0
gene__1502	0
