,metagenome_0,metagenome_1,metagenome_2,metagenome_3,metagenome_4,metagenome_5,metagenome_6,metagenome_7,metagenome_8,metagenome_9,metagenome_10,metagenome_11,metagenome_12,metagenome_13,metagenome_14,metagenome_15,metagenome_16,metagenome_17,metagenome_18,metagenome_19,metagenome_20,metagenome_21,metagenome_22,metagenome_23,metagenome_24,metagenome_25,metagenome_26,metagenome_27,metagenome_28,metagenome_29,metagenome_30,metagenome_31,metagenome_32,metagenome_33,metagenome_34,metagenome_35,metagenome_36,metagenome_37,metagenome_38,metagenome_39,metagenome_40,metagenome_41,metagenome_42,metagenome_43,metagenome_44,metagenome_45,metagenome_46,metagenome_47,metagenome_48,metagenome_49,metagenome_50,metagenome_51,metagenome_52,metagenome_53,metagenome_54,metagenome_55,metagenome_56,metagenome_57,metagenome_58,metagenome_59,metagenome_60,metagenome_61,metagenome_62,metagenome_63,metagenome_64,metagenome_65,metagenome_66,metagenome_67,metagenome_68,metagenome_69,metagenome_70,metagenome_71,metagenome_72,metagenome_73,metagenome_74,metagenome_75,metagenome_76,metagenome_77,metagenome_78,metagenome_79,metagenome_80,metagenome_81,metagenome_82,metagenome_83,metagenome_84,metagenome_85,metagenome_86,metagenome_87,metagenome_88,metagenome_89,metagenome_90,metagenome_91,metagenome_92,metagenome_93,metagenome_94,metagenome_95,metagenome_96,metagenome_97,metagenome_98,metagenome_99
gene__0,0.9077106252876019,0.747322069498315,0.34453951726761634,0.5114142080229471,0.5931329581993819,0.1176312592271389,0.9570530812785313,0.22331715671865404,0.9445435645452428,0.26173753912649655,0.7568456554910772,0.11956950235321107,0.8270281703517982,0.19554712373617,0.0792740269236335,0.0586296644073,0.12657331861594967,0.4566656377059619,0.31039060563407506,0.38686415625040305,0.6706079875537279,0.9548067057131957,0.9706039923385178,0.2998933111032459,0.13287895324383492,0.8450102768332103,0.3005337340567944,0.08644102604284476,0.09454194384663905,0.4350042844695019,0.26394951415730283,0.910331787574861,0.020747461131871203,0.18079561828215518,0.2883755536712096,0.5388089820226049,0.7514695288876028,0.5482619455958845,0.15749155015990723,0.7643273316878648,0.02997331852800622,0.9085541522859055,0.5447973195009527,0.5104187667873804,0.35033881273378886,0.561904513983427,0.8730832832558583,0.015494255324564388,0.29128816389842116,0.929056295355831,0.013649111245621848,0.023439844134331866,0.8821791009848524,0.6278909799855767,0.3392535410477179,0.016390347502203362,0.25942509887598986,0.44819090079668034,0.23830659374485208,0.4990406841712093,0.35707928208084305,0.8546077856085367,0.9022653862287217,0.035741946648087386,0.9195217041836675,0.9542393901270882,0.13139382008883016,0.33714912479892944,0.5282452970849513,0.5037410028105964,0.17296604264236903,0.3758980208409822,0.8497029198895739,0.22874784419717276,0.3110609270222938,0.26759664500038804,0.0470766605157279,0.7949439326381138,0.5101324350368086,0.11631924337286337,0.7510462446461804,0.07996642344794203,0.18819199102551032,0.6467263108501995,0.2721294156972076,0.06842439758941621,0.42092934297581763,0.17192805019635826,0.34988531616374907,0.251005798550054,0.20885757224721424,0.3344220110484123,0.566192527384604,0.28205261568794726,0.8441159328076919,0.05878062215897217,0.3092794842892338,0.5891839922295812,0.42528671920529504,0.8984798952723391
gene__1,0.5657533074159913,0.3496465615302643,0.7342576376325906,0.6192470771090044,0.7286500614449843,0.9544499866960612,0.14495863101257367,0.7342484399333478,0.6716604083566786,0.5679187125844899,0.7430966505354886,0.6049171645681438,0.03369410001055573,0.6030345143961975,0.3792066028301775,0.02099165730402963,0.8723716458622925,0.43734825451682924,0.24630486340100588,0.2515442013443855,0.50352425574391,0.6732765678243589,0.5562937989812161,0.05988790719428627,0.17911754987820983,0.9077901516085699,0.8815306136789856,0.19920323619627,0.5019104390658274,0.8398159187000993,0.5015991971199051,0.6448797983365124,0.6688921771093164,0.613626044664136,0.22748226851847364,0.4926352673111275,0.34095237296944503,0.13639235407764083,0.9973863720878601,0.006590885334203156,0.4905217637679208,0.599593483811396,0.8495532071168981,0.531011205691627,0.6432941698885882,0.7026722935304406,0.11283176937677408,0.3097672246343445,0.037667443149344226,0.6311238055395045,0.49130281397319586,0.3876242531403251,0.8667382367047147,0.34627287135555807,0.3209908192967068,0.02933130581894061,0.8897916069968393,0.506182663103539,0.9341678576957188,0.5182924553000692,0.7052858597589685,0.49594100385715256,0.7855810011874731,0.532376588079456,0.24908900415618906,0.9051070652007941,0.49086961240779425,0.3029420394609814,0.08722460312002744,0.3560535142735404,0.6697107967225518,0.0031816668033544104,0.9226581335932692,0.24804594937917512,0.2023062056966829,0.035245787279243546,0.09741160704729723,0.07503409574009678,0.8737700492365351,0.6115172994570461,0.5990253642669595,0.25379904423050403,0.8868745183579152,0.4477878894531728,0.5529594679480179,0.44938486852459814,0.8972940521932672,0.2745141411728903,0.1998681802865674,0.4461858390432858,0.26578394820148354,0.24922569887234947,0.6074966192513515,0.5727240685081557,0.23538459158055092,0.11679425541207356,0.5892479122736521,0.3043665883409664,0.38390565631596685,0.5168517265457697
gene__2,0.24734497632153818,0.42102664267414713,0.01298176147705099,0.5817925790340814,0.02431410310653137,0.9739843455646291,0.3375889414152411,0.14553981040213249,0.1828633342542092,0.5880158140893543,0.7902363958726584,0.9722785449774886,0.7340484558552209,0.11936465980108191,0.2781445257975841,0.8677624894399014,0.3286796750144648,0.1487952699087245,0.10934289184456136,0.599883872696046,0.16831747274421005,0.47285952690368305,0.7362546240488103,0.5675002536029708,0.7378889083935763,0.40173794195132906,0.29852497284078117,0.24500728542523909,0.8332525245674025,0.7128728299290734,0.6709089164799333,0.78125819859486,0.023268195379129608,0.818063053434887,0.23137893479732596,0.4941175113585322,0.2689366401479094,0.7589718545772853,0.4123766072799703,0.9173177698739527,0.8403942259757168,0.210542811863082,0.676076456784117,0.2907329406955438,0.009957761102694862,0.9611935952709973,0.7718674815573608,0.052424898959604005,0.39763616493919907,0.24895569385490646,0.2133764546787602,0.8645769352233023,0.802585288438561,0.8661660444985121,0.2779224774207353,0.5214303529593062,0.6122079210335034,0.927996467262791,0.6387057310514911,0.23934699413741334,0.6045961605760576,0.20348417751404613,0.3877800980489797,0.7495982620887598,0.41749284631319683,0.26849910623393536,0.0467439671289972,0.8354777357233616,0.35972920012819987,0.7620963293740246,0.48610186874883365,0.5005689678969494,0.6423666735459835,0.03595501628680231,0.4015855210709133,0.5869028720539236,0.7813948098878875,0.6297332807150905,0.5061314399347419,0.3124442793894907,0.29510458248657234,0.4363513903916906,0.30691575891839484,0.8010290454644978,0.8210228918963777,0.37524475545184177,0.6059808234941584,0.7888773813336293,0.9265828454639402,0.33213545430652425,0.22630342195690512,0.8393338934604941,0.04883522200703461,0.9410808695201938,0.5678907854930569,0.2645440724920568,0.09702756152624714,0.846042126139872,0.25713273397764436,0.5259343889799328
gene__3,0.7126278797560132,0.09915813462312795,0.5346737763749713,0.5593468262841058,0.3062406201621364,0.11387981741687425,0.1804386689698858,0.8498577960557098,0.8962909764564286,0.5999469130683627,0.8735105987410242,0.7736559239310699,0.9693824248447055,0.894991326344637,0.2549193374065404,0.8241358822157023,0.17148757321684993,0.01352734279173573,0.42794648760255616,0.9685747150852281,0.5595641691172525,0.3503274541959782,0.08410073822519004,0.6660691758341933,0.825917975076498,0.01798699773146417,0.5214182630377463,0.5675354169710054,0.4179449738299801,0.35661577662901944,0.9984195420163432,0.17421266141606695,0.21506898006665942,0.45933325896202604,0.9655273621609965,0.13659181775178375,0.6876572492252996,0.6497396237451429,0.1342237089163505,0.7032971496498565,0.03327602426899301,0.11239993650028268,0.5740119543565586,0.45209437936055197,0.3954554748631619,0.3627892955209605,0.55658419394524,0.6959262824587398,0.7367005569892746,0.5560893820239527,0.09367577922652626,0.23723389506916281,0.7173727320333129,0.8351251971429127,0.7826166172849569,0.00048581398882852067,0.25060659373660343,0.7779587311543884,0.2748191387828848,0.6216640223524156,0.4905558953078596,0.8832036902287241,0.7016647675371512,0.2501793158647214,0.7282507528414826,0.9001283650824724,0.145436640812739,0.9433743417531532,0.5542246992657348,0.6093650646398242,0.37107172712699943,0.4248528445379951,0.9259466264333496,0.5398420745985494,0.5914984201616851,0.6212850771680248,0.11104765682346163,0.045019063081048305,0.5600769005497087,0.16756003469402292,0.47592594819982725,0.8070265794797907,0.11642524848037983,0.1505585520642111,0.5805718132961227,0.6185616423645638,0.8273916070341256,0.2938191343215455,0.18196611652853623,0.9020967676617966,0.43093081035799896,0.8184468569599073,0.9997139909190921,0.9866535388686014,0.7645966715436676,0.14323349914741124,0.7850787619288395,0.5205390750271123,0.9374218252430413,0.7058290798897946
gene__4,0.7092055180522632,0.9683240490923081,0.4287334618120504,0.33869884166495645,0.8768533563656551,0.382069636954926,0.9000689919666625,0.8158499935382665,0.14578129104037607,0.33394709062358563,0.6714044076826727,0.06701234873407591,0.46716678318013316,0.3842836907674342,0.21966006820845818,0.9177739207730716,0.8674118642749307,0.950905891010017,0.24544230027745162,0.5196653896762685,0.7387090612545355,0.4145563664702362,0.281434411496712,0.4397822036644551,0.6412592163261904,0.8389628747828494,0.5962165865096112,0.9429396077405712,0.3322883505083155,0.048844515500426566,0.7361331744130646,0.6923061017404233,0.9729541409392088,0.277692089472362,0.7654248003974821,0.6343501822314043,0.9593133744222551,0.7960526940478443,0.9527986443297548,0.428702867916547,0.7825081648003124,0.1713961932319088,0.06169318996481976,0.3648448263261477,0.001230206915491805,0.029018283166751258,0.12437042895591965,0.23416577606104272,0.7492270212823912,0.4223435431269661,0.563741914203511,0.4326088303962735,0.01047352958544956,0.7305734480136837,0.5757998721863715,0.2584678816302838,0.1636965211313639,0.7224068882944036,0.2217735742628364,0.87438543230191,0.2267356551204308,0.7625869115648317,0.6017528396860106,0.8298889165089439,0.3828274821240538,0.07616482574786987,0.4985143314221494,0.5374647314062843,0.5266095787703983,0.9067653620618497,0.6606091369693885,0.531941526320255,0.6384366325388924,0.4224227925130952,0.45482629700199917,0.7691288007450542,0.4076424583273828,0.27036879266602376,0.8332583947155316,0.6330708312931316,0.7156221570853614,0.854169970327625,0.1167156734824778,0.4608442433241531,0.21189995821399343,0.003449103262825215,0.9362850082642078,0.8642364788632819,0.549934780668496,0.9568681957876503,0.15352527084046297,0.09830181215541722,0.7891154059218637,0.6116141230862415,0.3076572653999825,0.9503714602024286,0.7786393929133099,0.3754716832094567,0.33309249400834384,0.14916746214885357
gene__5,0.6158459906090595,0.3876759790275617,0.8966407763361485,0.587037876772787,0.3496405879261658,0.8624866054251645,0.9831863433409815,0.8556038404927683,0.7376043435162198,0.3438295195908546,0.48301311575481765,0.8972673910682621,0.34148603709879066,0.550750397837341,0.6449011216505953,0.0858933806091976,0.364144998075413,0.5996191722234843,0.47856684527698623,0.7534588253185945,0.06775853111288355,0.5371288398242359,0.2233076851800354,0.5803771718713994,0.11060688683397546,0.3125507371313134,0.9254202856188665,0.5897972516543973,0.1789134170717065,0.35335485575173264,0.06376949170285484,0.2174867406117993,0.178524155666274,0.5926182367508951,0.8650669173657257,0.6446417275532329,0.3438676274632749,0.09810895100778438,0.10711070208488149,0.920406794608912,0.5824721435361719,0.20022506612451496,0.814347150497636,0.6993822983135555,0.012245100706489875,0.29127900660720485,0.04332804671256796,0.4127059050473302,0.9005110802664814,0.5648081646261065,0.6320031793825681,0.06390840361773331,0.9406287129402219,0.6213859674726793,0.5571492146826464,0.9292195508501376,0.3047541428488256,0.9215415392762913,0.9571704682399953,0.5012436382045015,0.5275111827840655,0.14175936314565973,0.9175145502276633,0.10629496065713451,0.17007247742279807,0.2705805891450327,0.9983793486348026,0.5651722711751413,0.6313832702409776,0.19202934468375843,0.34035662969474734,0.31836971923263446,0.06218836944373762,0.20420100502752492,0.8539742774359116,0.7752740813980838,0.4395707624644659,0.9713588954224422,0.6476349992221655,0.6907290093329934,0.7844103975193051,0.4604929612230797,0.3344938903633117,0.3982404490497845,0.723273805836594,0.08078292945670762,0.8930731397282642,0.22402273462656963,0.5326770280054117,0.5480126883680456,0.7316366509905058,0.5162877543366652,0.9586952993455786,0.7415911078495687,0.5639179160708554,0.4797590103965583,0.6267480045629678,0.759038336233004,0.2793150123073973,0.7456847106625765
gene__6,0.32850357888745085,0.020736426826666987,0.8006808705838123,0.7617585994548247,0.219643166831629,0.20669886444127827,0.4230206158171871,0.14188746327602364,0.3578955105988394,0.9598269253242441,0.2918878698074753,0.2771380316206896,0.2354395316221638,0.5165090278775801,0.8046452874447684,0.8723921503013772,0.32689874208891256,0.10661153783074095,0.4598249465111114,0.4934474991200003,0.07615376971058352,0.7480521870679044,0.09492108804527022,0.8487676187132652,0.11876595090256592,0.3394722255736061,0.41370880124134024,0.25550306204916884,0.023019978626412807,0.7429326378172457,0.8514685640531942,0.12002449913141311,0.054161085220847505,0.7085960877145935,0.8231293834351575,0.05729188912413874,0.7895301444179983,0.38610891089433463,0.900048010014613,0.6894777703764527,0.04739584042761258,0.053621135912505946,0.30376410321821334,0.5924204963655318,0.1612007368553965,0.0765219603485432,0.2366199346458958,0.06066352409503428,0.8520851194148081,0.048933424580549056,0.6050965598488218,0.5951141982695164,0.03629147716123493,0.2827925245268539,0.5834240361072489,0.32007884375984463,0.3022034128603175,0.7825716894259057,0.7787121183446256,0.7888993402743851,0.39496202864233854,0.39701516129274617,0.9469487571068069,0.19319057897062097,0.820885685177336,0.40049027304006335,0.7584990419788854,0.09412741583034079,0.8327841935154625,0.40476274258726597,0.6715525572202018,0.4016628980782584,0.011081810830306349,0.4066087514844865,0.8403468980164096,0.19695157039139577,0.3953885237809812,0.12964357426101358,0.01086741303004346,0.9547612095349024,0.9594875025986617,0.8014523442674684,0.1603164038139927,0.6651882884161461,0.0052257279747338625,0.525092347404336,0.7391300886723657,0.2903551212769565,0.7643381964289262,0.0786336027533483,0.5513503347790085,0.0344957831378645,0.18370915276241084,0.41915620349790583,0.3511810841543419,0.6707212734789001,0.8995367731762952,0.8859222978851568,0.706024989570731,0.9815230372953027
gene__7,0.5300797596270361,0.8088660493978322,0.25406327763105596,0.30795173888814864,0.17930250273775872,0.37009174902052533,0.06036186602163218,0.620819339075869,0.115841736993603,0.5177861477962333,0.459654418037041,0.5785440552238533,0.9616130522437184,0.12363212197938356,0.1261333305064305,0.9022514392951381,0.4102300993215777,0.1633688899497836,0.4224134418193114,0.383715755335436,0.9993328992860402,0.10345152111252864,0.7872417005623841,0.17542390543809028,0.7271895808855158,0.5234280015264599,0.004042255661389382,0.6865101425644441,0.7135792685311169,0.7280490346145733,0.03582492922978098,0.03169187422315267,0.13750136999794804,0.6671544465381826,0.7766605049824616,0.9993435305712041,0.7572375324019641,0.7564733093348167,0.6583325244889866,0.25050415795843617,0.5697498621455687,0.9978197998875595,0.015084934612684786,0.7499467943456913,0.00936807818393004,0.8886328195704446,0.7519966678600947,0.7199864124485759,0.24934051308935412,0.47341977134328805,0.34466710167136017,0.7080881211414315,0.03556155571287056,0.2926920846518368,0.0007311642431899745,0.04336472009168224,0.5919863660778344,0.608323357716927,0.16265815916692816,0.2531574621801448,0.7583603687773303,0.6992103264904866,0.4270355465374295,0.6600909755835067,0.565086277853338,0.5208273686607454,0.5403182771966657,0.4900120432589783,0.9702992843442252,0.14872426295009433,0.9705315146912458,0.5899875163928853,0.8077531256190299,0.04987838101666231,0.762881787424702,0.4827991530613924,0.8741877841787996,0.7387263143925391,0.7452464833594915,0.5158706726778504,0.5631697624164965,0.24652132550014638,0.7762789633995102,0.5960207575651729,0.44637122284326725,0.8051362015078196,0.5561814008997328,0.42931798725363524,0.8717976169905254,0.34851417046755595,0.7643965934383692,0.2805612653773655,0.20238162648847702,0.7486878038913792,0.5940980352439917,0.25279948994043133,0.61148218222604,0.6375303199771124,0.5965727998788293,0.030738450113914628
gene__8,0.9585857656843928,0.17217995748177028,0.7354593699438482,0.4182970437893504,0.21461795327609856,0.881185707205235,0.205603858687334,0.6293321451834498,0.8968319312966158,0.43221624672657344,0.501362873095522,0.9325562993888082,0.15265598022926163,0.09034529065164132,0.4733582062649656,0.9915604268024917,0.3599240947089176,0.28804379674644554,0.44243721113013923,0.5227004192774896,0.4192693511618718,0.7653504023394568,0.4537804599965838,0.38536371557154747,0.8591514320672662,0.549662642978836,0.2885748702093668,0.01547811140731914,0.6572474936145207,0.6280551048903631,0.7697843869111135,0.9680465400824344,0.13773699764803204,0.2600999216373773,0.2022840835138835,0.22722532382397986,0.6124579331944426,0.6600657355982705,0.16465661138136511,0.7462446886777964,0.5768082499503898,0.3490737698661308,0.19499299431509964,0.19224323076383176,0.39769271303831133,0.8025967566633935,0.4040404995084619,0.551256898346131,0.10669631263405532,0.4210652573276443,0.20073040969199007,0.9642492344375543,0.3231324305700801,0.2563657618709877,0.1320193761726901,0.13346169567509325,0.7480163110195871,0.17600721573621192,0.41074207312884725,0.8252818028306981,0.7419989630694084,0.25737513694001857,0.011881697444163897,0.5915014603820027,0.2641650928781728,0.4496104490853332,0.21360772452345278,0.4878175051864374,0.16174927827664765,0.5400620512930449,0.10882609265639842,0.02202575189957523,0.5336286378585385,0.26103094188879195,0.2911226645487912,0.8929611861364061,0.43371562278816167,0.9229726477821492,0.6480284751162191,0.9432598426188948,0.8742749484410429,0.6049089133091687,0.8258434384917841,0.6658509083412061,0.521894498212488,0.8175622102451217,0.6812891007917102,0.9906766564110651,0.21049118848734438,0.2569482134976091,0.405156249402431,0.44926319395861447,0.48131826770072617,0.2812358639541749,0.24304804722157614,0.22116024517367094,0.5327337780586618,0.347990096872666,0.40557363593391094,0.7132479707383346
gene__9,0.07512432116137069,0.31791150381043676,0.09150171623756487,0.9195584675763605,0.3642081912292824,0.09549910516876425,0.004429218913791444,0.759011617125866,0.8419934510814421,0.9917552618623144,0.3396203197809988,0.9149777522345046,0.6998495725250896,0.11966430354069202,0.050717594404605215,0.6649799889157236,0.7906047915580918,0.9966736533269897,0.5714000603382666,0.02489013256386685,0.7467078416654821,0.9702491135139764,0.10835967566318028,0.03470635424100077,0.9695101224624243,0.5076640955014808,0.7920309336213213,0.8575549282064466,0.13392973131914565,0.7629576847365395,0.9610118680157796,0.7535081271705731,0.5995123618179936,0.045668599769999596,0.49327697305194584,0.6131735556906611,0.3449113591088563,0.02052216146893493,0.49520715323885256,0.9688817739561914,0.6163994457287948,0.02387112746526343,0.7414900706785054,0.5342178605793351,0.14313270459236205,0.7198843808876497,0.6418410236973272,0.18307420402332664,0.9401759125641521,0.30921111457520567,0.744147594359374,0.27645329165414645,0.9607452564751143,0.8290262533908127,0.5877018989163142,0.007670589300623032,0.1305335096018222,0.9658717837561847,0.9016937903355489,0.060054803093625986,0.792380503393361,0.6732215019229606,0.7346176284084055,0.8242073018528443,0.7057301620069406,0.16310128675407387,0.08716377600204916,0.8272371407105753,0.7140994283812395,0.11493352322054373,0.6384406676516677,0.1897717553271574,0.0014287399077237417,0.7062225883078777,0.0581461032105729,0.12266828487423531,0.6757408282302179,0.4359116846968827,0.18536473969384248,0.5005128225661925,0.2518132698117067,0.2163558443889967,0.1969064707472027,0.5567126140371498,0.9652807719532406,0.3223380472789388,0.2511826521380356,0.8634734249351675,0.04342499881921624,0.1685061005763332,0.6065756866853829,0.7501415124510838,0.7446664686799193,0.7736812906487648,0.34028552201311324,0.04534614971170525,0.8736364836515969,0.8553706719027048,0.37604120508655525,0.09111677141125063
